"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"826719","FUTIND","BSESEN","FUTURE","26-Aug-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",80,0,20,5,"BSE SENSEX","","","","",75644.95,92454.95,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8436120,"SENSEX"
"826818","FUTIND","BSESEN","FUTURE","15-Jul-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",2800,0,20,5,"BSE SENSEX","","","","",75144.7,91843.55,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8377125,"SENSEX"
"826846","FUTIND","BANKEX","FUTURE","26-Aug-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",57670.85,70486.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6275582,"BANKEX"
"828920","FUTIND","BSESEN","FUTURE","22-Jul-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",20,0,20,5,"BSE SENSEX","","","","",75275.9,92003.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8390745,"SENSEX"
"1141118","FUTIND","BANKEX","FUTURE","29-Jul-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",150,0,30,5,"BANKEX","","","","",57417.05,70176.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6424900,"BANKEX"
"841996","FUTIND","BSESEN","FUTURE","12-Aug-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",20,0,20,5,"BSE SENSEX","","","","",75525.3,92308.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8417540,"SENSEX"
"842364","FUTIND","BSESEN","FUTURE","25-Sep-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",60,0,20,5,"BSE SENSEX","","","","",76050.7,92950.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8458535,"SENSEX"
"842507","FUTIND","BANKEX","FUTURE","25-Sep-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",57944.05,70820.5,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6430568,"BANKEX"
"1140932","FUTIND","BSESEN","FUTURE","29-Jul-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",9480,0,20,5,"BSE SENSEX","","","","",75281.35,92010.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8391300,"SENSEX"
"840107","FUTIND","BSESEN","FUTURE","05-Aug-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",75442.05,92207,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8158330,"SENSEX"
"820039","OPTIND","BSESEN","OPTION","29-Jul-2025","88400","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",2357,7492.5,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8405890,"SENSEX"
"820067","OPTIND","BANKEX","OPTION","29-Jul-2025","70600","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",0.05,157.55,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6313335,"BANKEX"
"820161","OPTIND","BSESEN","OPTION","29-Jul-2025","88600","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",2277.6,7547.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8242990,"SENSEX"
"820225","OPTIND","BSESEN","OPTION","29-Jul-2025","88500","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,366.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8371251,"SENSEX"
"820254","OPTIND","BSESEN","OPTION","25-Jun-2026","87000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",2365.4,4342,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8375587,"SENSEX"
"820282","OPTIND","BSESEN","OPTION","29-Jul-2025","88800","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",2670.95,7919.55,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8242990,"SENSEX"
"820294","OPTIND","BSESEN","OPTION","29-Jul-2025","89500","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,210.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8155163,"SENSEX"
"820343","OPTIND","BSESEN","OPTION","29-Jul-2025","89800","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",3301.95,8837.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8242990,"SENSEX"
"820395","OPTIND","BSESEN","OPTION","29-Jul-2025","89700","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,186.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8217645,"SENSEX"
"820450","OPTIND","BANKEX","OPTION","29-Jul-2025","70600","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",4460.5,8863,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6313335,"BANKEX"
